City,Tirana,Vienna,Minsk,Antwerp,Brussels,Sarajevo,Sofia,Zagreb,Larnaca,Prague,Copenhagen,Tallinn,Helsinki,Nice,Paris,Lyon,Munich,Berlin,Hamburg,Frankfurt,Athens,Budapest,Reykjavik,Dublin,Milan,Rome,Riga,Vilnius,Luxembourg City,Valletta,Chisinau,Podgorica,Amsterdam,Skopje,Oslo,Warsaw,Coimbra,Lisbon,Bucharest,Belgrade,Bratislava,Ljubljana,Barcelona,Madrid,Seville,Stockholm,Zurich,Geneva,Edinburgh,London
Amsterdam,-,346.79,-,-,414.90,-,145.23,294.58,337.37,217.04,119.43,177.42,118.87,167.72,263.14,295.33,186.10,189.55,264.71,211.51,418.65,289.58,184.89,182.11,135.14,348.74,250.68,266.34,406.74,-,-,-,-,-,230.40,283.08,-,235.57,264.50,316.03,-,130.25,203.13,172.60,232.60,168.48,194.89,193.98,232.41,187.75
Antwerp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Athens,63.95,355.89,-,-,225.89,-,98.57,-,74.03,150.35,161.97,66.34,-,290.02,131.43,104.57,144.99,228.42,308.55,98.87,-,-,-,534.50,188.37,225.18,-,-,594.34,-,196.27,-,418.65,148.65,516.70,295.58,-,334.66,113.07,-,-,-,240.24,475.26,-,337.93,310.61,-,533.77,286.70
Barcelona,107.26,146.84,-,-,159.11,-,81.49,-,-,237.46,94.89,-,256.27,95.92,114.69,67.71,136.57,194.22,89.38,262.90,240.24,130.30,285.67,123.93,37.82,52.73,335.33,171.14,461.87,-,-,-,203.13,-,56.04,81.86,-,89.07,142.58,61.12,-,-,-,70.96,66.11,181.77,108.17,222.56,-,127.72
Belgrade,76.72,144.60,-,-,-,-,102.35,106.22,-,287.65,112.69,-,-,72.28,126.64,-,421.48,126.62,-,155.57,-,75.61,-,-,144.90,131.78,-,-,-,-,-,69.78,316.03,-,75.54,176.32,-,219.75,240.79,-,-,83.23,61.12,-,-,167.20,203.91,228.05,-,108.66
Berlin,153.58,526.52,-,-,270.31,-,243.14,-,-,-,131.81,-,110.73,256.64,234.58,113.77,118.96,-,-,121.95,228.42,111.86,566.04,170.53,122.92,72.45,455.65,387.05,322.20,116.12,142.69,-,189.55,78.23,212.09,237.30,-,196.85,-,126.62,-,-,194.22,188.20,-,150.12,273.97,297.84,164.74,171.87
Bratislava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168.34
Brussels,107.26,335.16,-,-,-,-,102.00,154.83,-,160.82,201.06,295.00,328.52,194.03,249.99,192.95,263.20,270.31,276.79,270.70,225.89,126.62,852.94,208.67,179.77,327.85,300.85,165.22,-,179.53,171.40,-,414.90,102.00,303.36,136.63,-,389.70,112.17,-,-,263.84,159.11,207.62,160.21,164.37,426.22,211.31,430.62,133.12
Bucharest,-,229.39,-,-,112.17,-,-,-,205.93,127.87,112.60,-,-,-,161.66,-,208.80,-,-,127.56,113.07,115.11,-,147.36,63.33,84.23,-,-,-,-,114.66,-,264.50,-,60.59,275.51,-,-,-,240.79,-,-,142.58,190.26,142.58,-,551.22,-,-,168.32
Budapest,-,188.73,-,-,126.62,-,-,-,439.34,-,69.28,-,-,92.16,172.23,-,186.10,111.86,169.25,153.53,-,-,-,252.87,80.43,104.93,467.87,-,508.82,-,49.78,-,289.58,104.93,311.29,94.85,-,165.85,115.11,75.61,-,-,130.30,175.40,-,150.72,398.42,296.55,-,104.93
Chisinau,-,532.61,-,-,171.40,-,-,-,-,133.01,-,-,-,-,198.05,-,-,142.69,165.07,-,196.27,49.78,-,142.30,146.85,125.18,-,-,-,-,-,-,-,-,-,73.20,-,-,114.66,-,-,-,-,-,-,-,-,-,-,169.37
Coimbra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copenhagen,-,-,-,-,201.06,-,116.97,278.98,-,183.93,-,-,135.69,268.62,139.11,186.81,121.98,131.81,235.02,181.69,161.97,69.28,-,127.00,43.42,79.72,59.44,209.83,334.56,-,-,-,119.43,-,79.17,53.97,-,357.85,112.60,112.69,-,-,94.89,158.70,-,55.07,196.77,302.65,202.86,119.33
Dublin,-,-,-,-,208.67,-,-,-,-,301.74,127.00,-,179.77,419.79,152.43,396.68,246.97,170.53,94.95,141.83,534.50,252.87,163.00,-,185.04,199.42,-,-,367.44,-,142.30,-,182.11,-,197.55,-,-,254.61,147.36,-,-,-,123.93,233.03,307.98,248.19,299.37,-,197.53,156.81
Edinburgh,-,-,-,-,430.62,-,-,-,-,211.06,202.86,-,210.45,-,264.31,-,257.51,164.74,-,491.01,533.77,-,136.05,197.53,305.47,-,-,-,-,-,-,-,232.41,-,108.29,-,-,317.99,-,-,-,-,-,263.43,-,257.48,603.75,396.33,-,87.70
Frankfurt,245.29,584.75,-,-,270.70,448.01,106.33,328.97,1020.92,609.71,181.69,184.87,120.73,387.05,244.79,263.20,254.75,121.95,143.36,-,98.87,153.53,572.40,141.83,182.88,229.14,289.78,446.54,277.73,517.52,-,-,211.51,241.73,175.21,147.27,-,277.73,127.56,155.57,-,161.36,262.90,176.06,251.81,275.74,455.10,491.01,491.01,135.59
Geneva,-,861.35,-,-,211.31,-,-,-,-,215.06,302.65,-,223.38,198.48,176.69,-,779.16,297.84,316.31,491.01,-,296.55,-,-,-,304.47,-,-,307.84,-,-,-,193.98,-,-,577.01,-,431.86,-,228.05,-,-,222.56,772.84,383.89,-,557.68,-,396.33,91.46
Hamburg,261.76,491.90,-,-,276.79,-,-,-,-,-,235.02,-,161.07,110.73,763.87,-,140.07,-,-,143.36,308.55,169.25,-,94.95,110.72,110.72,183.78,197.63,182.20,110.72,165.07,-,264.71,-,115.63,202.82,-,210.93,-,-,-,-,89.38,139.65,-,159.66,159.66,316.31,-,112.61
Helsinki,-,507.08,-,-,328.52,-,-,-,-,483.16,135.69,93.72,-,227.34,158.02,-,78.85,110.73,161.07,120.73,-,-,202.90,179.77,37.41,189.63,54.63,122.25,-,-,-,-,118.87,-,99.43,127.92,-,790.32,-,-,-,-,256.27,199.54,-,37.52,245.37,223.38,210.45,66.25
Larnaca,-,607.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1017.02,-,-,1020.92,74.03,439.34,-,-,-,-,-,-,-,248.98,-,-,337.37,-,-,279.27,-,-,205.93,-,-,-,-,-,-,-,1252.64,-,-,351.26
Lisbon,-,-,-,-,389.70,-,-,-,-,534.41,357.85,-,790.32,147.30,116.99,121.63,353.13,196.85,210.93,277.73,334.66,165.85,-,254.61,99.72,129.67,-,-,253.08,-,-,-,235.57,-,617.46,322.20,-,-,-,219.75,-,-,89.07,105.55,168.69,352.99,280.49,431.86,317.99,220.36
Ljubljana,-,-,-,-,263.84,-,-,-,-,-,-,-,-,-,305.74,-,266.16,-,-,161.36,-,-,-,-,-,-,-,-,266.55,-,-,-,130.25,-,-,161.84,-,-,-,83.23,-,-,-,-,-,-,464.38,-,-,383.92
